,Unnamed: 0,Product Name,Prices,Ratings
0,0,purepet Chunks in gravy(For all life stages) - Chicken ...,₹348,3.9
1,1,purepet Nutritional Sea Food 7 kg Dry Adult Cat Food,₹849,4.2
2,2,purepet Adult Ocean Fish 1.2 kg Dry Adult Cat Food,₹175,4.4
3,3,Whiskas Kitten (2-12 months) Tuna 1.02 kg (12x0.09 kg) ...,₹390,4.6
4,4,Whiskas Kitten (2-12 months) Fish 1.1 kg Dry Young Cat ...,₹315,4.6
5,5,"Whiskas Dry Meal Junior Ocean Fish 0.45 kg Dry Young, N...",₹167,4.6
6,6,purepet Adult Mackeral 1.2 kg Dry Adult Cat Food,₹179,4.4
7,7,drools 1.2 kg cat food free with Drools 3 kg Tuna and S...,₹743,4.1
8,8,Whiskas Adult (+1 year) Tuna 1.02 kg (12x0.09 kg) Wet A...,₹390,4.6
9,9,Sheba Rich Premium Chicken 0.07 kg Wet New Born Cat Foo...,₹51,4.5
10,10,Whiskas Adult (+1 year) Chicken 1.2 kg Dry Adult Cat Fo...,₹329,4.6
11,11,drools (3kg with 1.2kg) Adult Ocean Fish 4.2 kg Dry Adu...,₹790,4.3
12,12,purepet Adult Ocean Fish 7 kg Dry Adult Cat Food,₹849,4.3
13,13,Whiskas Adult (+1 year) Tuna 1.2 kg Dry Adult Cat Food,₹266,4.6
14,14,Whiskas Kitten (2-12 months) Chicken 1.02 kg (12x0.09 k...,₹390,4.6
15,15,drools 1.2kg Cat Food with Drools 3 kg Ocean Fish 4.2 k...,₹744,4.5
16,16,Whiskas Adult (+1 year) Salmon 1.02 kg (12x0.09 kg) Wet...,₹390,4.6
17,17,drools Ocean Fish 4.2 kg Dry Adult Cat Food,₹679,4.4
18,18,Whiskas Adult (+1 year) Ocean Fish 3 kg Dry Adult Cat F...,₹736,4.6
19,19,drools Ocean Fish 4 kg Dry Young Cat Food,₹704,4.3
20,20,"Temptation Temptations Cat Treat, Savoury Salmon Flavou...",₹139,4.8
21,21,Whiskas Kitten (2-12 months) Mackeral 0.45 kg Dry Young...,₹176,4.6
22,22,Whiskas (2-12 months) Ocean Fish Flavour with Milk Fish...,₹892,4.6
23,23,purepet Chunks in gravy(For all life stages) - Chicken ...,₹337,4.0
24,24,Whiskas Adult (+1 year) Chicken 1.02 kg (12x0.09 kg) We...,₹390,4.6
25,25,Whiskas Super Saver Pack (+1 Year) Chicken 4.08 kg (48x...,"₹1,562",4.6
26,26,Whiskas Adult (+1 year) Mackeral 3 kg Dry Adult Cat Foo...,₹641,4.6
27,27,purepet Chunks in gravy(For all life stages) - Chicken ...,₹549,3.9
28,28,Whiskas Adult (+1 year) Tuna 3 kg Dry Adult Cat Food,₹504,4.6
29,29,Whiskas Adult (+1 year) Fish 7 kg Dry Adult Cat Food,"₹1,674",4.6
30,30,Whiskas Adult (+1 year) Ocean Fish 1.2 kg Dry Adult Cat...,₹330,4.6
31,31,drools 1.2 kg Cat Food free with Drools 3 kg Mackeral 4...,₹743,4.1
32,32,Whiskas Adult (+1 year) Tuna 0.48 kg Dry Adult Cat Food,₹181,4.6
33,33,Whiskas Super Saver Pack Tuna 4.08 kg (48x0.09 kg) Wet ...,"₹1,562",4.6
34,34,drools 400 g cat food free with Drools 1.2 kg Ocean Fis...,₹302,4.5
35,35,purepet Adult Tuna and Salmon 7 kg Dry Adult Cat Food,₹899,4.3
36,36,Dr Venture Pet Food for All Breeds Size of Dogs and Cat...,₹248,0.0
37,37,purepet Kitten Ocean Fish 1.2 kg Dry Young Cat Food,₹269,4.3
38,38,Whiskas Kitten (2-12 months) Mackeral 1.1 kg Dry Young ...,₹332,4.6
39,39,purepet Nutritional Mackeral 7 kg Dry Adult Cat Food,₹879,4.3
